,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.10402126312255859,0.005833381576705148,0.055159378051757815,0.003372474885870186,1,uniform,"{'n_neighbors': 1, 'weights': 'uniform'}",0.930379746835443,0.9466546112115732,0.9367088607594937,0.9376130198915009,0.9222423146473779,0.879746835443038,0.8815551537070524,0.8615384615384616,0.8759057971014492,0.8913043478260869,0.9063772048846676,0.029727743949636166,13,0.9106442858578752,0.9160719670318624,0.920595034676852,0.9189868328475224,0.9163735048748618,0.9137601769022012,0.9111468489295407,0.8912562814070352,0.890061300371822,0.9135765249723646,0.9102472757871938,0.010234433920897611
1,0.10013251304626465,0.004068531659237315,0.05405852794647217,0.0028514346913282133,1,distance,"{'n_neighbors': 1, 'weights': 'distance'}",0.930379746835443,0.9466546112115732,0.9367088607594937,0.9376130198915009,0.9222423146473779,0.879746835443038,0.8815551537070524,0.8615384615384616,0.8759057971014492,0.8913043478260869,0.9063772048846676,0.029727743949636166,13,0.9106442858578752,0.9160719670318624,0.920595034676852,0.9189868328475224,0.9163735048748618,0.9137601769022012,0.9111468489295407,0.8912562814070352,0.890061300371822,0.9135765249723646,0.9102472757871938,0.010234433920897611
2,0.10133252143859864,0.0032801900863345295,0.05505304336547852,0.003449677217804827,2,uniform,"{'n_neighbors': 2, 'weights': 'uniform'}",0.9376130198915009,0.945750452079566,0.9394213381555153,0.9358047016274864,0.9177215189873418,0.8851717902350814,0.891500904159132,0.8687782805429864,0.8840579710144928,0.8777173913043478,0.9083672546359114,0.028243685181663362,12,0.9109458237008745,0.9150668408885315,0.9091365966428787,0.9172781184038596,0.9126545381445371,0.9102422354005427,0.9193888833048548,0.8873366834170854,0.8867450507486685,0.9015174354336247,0.9070312206085459,0.01101715156686921
3,0.09664435386657715,0.0035208883424287444,0.05515265464782715,0.00508716116912672,2,distance,"{'n_neighbors': 2, 'weights': 'distance'}",0.9376130198915009,0.945750452079566,0.9394213381555153,0.9358047016274864,0.918625678119349,0.8860759493670886,0.891500904159132,0.869683257918552,0.8840579710144928,0.8786231884057971,0.9087290818634102,0.02797661491045511,11,0.9110463363152076,0.9151673535028646,0.9092371092572118,0.9173786310181928,0.9128555633732033,0.910443260629209,0.9194893959191879,0.887537688442211,0.8868455431614913,0.9017184202592704,0.907171930187805,0.011002322497328281
4,0.09813432693481446,0.008141494594465174,0.0559561014175415,0.00709711838497093,3,uniform,"{'n_neighbors': 3, 'weights': 'uniform'}",0.9484629294755877,0.9439421338155516,0.9349005424954792,0.945750452079566,0.9213381555153707,0.8896925858951176,0.8860759493670886,0.8805429864253393,0.884963768115942,0.8894927536231884,0.9125282677521483,0.027376623656717263,10,0.9230073374208463,0.9236104131068449,0.9158709418031963,0.9198914463765202,0.9219016986631823,0.9216001608201829,0.9271283546085034,0.9192964824120603,0.9207114862827857,0.9242287207315848,0.9217247042225706,0.0029200626830012976
5,0.09315171241760253,0.011330789352302164,0.05654864311218262,0.008590080626274083,3,distance,"{'n_neighbors': 3, 'weights': 'distance'}",0.9484629294755877,0.9439421338155516,0.9349005424954792,0.945750452079566,0.9222423146473779,0.8942133815551537,0.8887884267631103,0.885972850678733,0.8876811594202898,0.894927536231884,0.9146992311171416,0.025419663774448504,8,0.9245150266358428,0.9253191275505076,0.917579656246859,0.9213991355915168,0.9235099004925118,0.9233088752638456,0.9290380942808323,0.9210050251256281,0.922319364887951,0.9258365993367501,0.9233830805412244,0.002957237126715247
6,0.0910599708557129,0.0071427439887854095,0.05355393886566162,0.0042780009133101165,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",0.9493670886075949,0.9529837251356239,0.9385171790235082,0.9376130198915009,0.9213381555153707,0.8924050632911392,0.8905967450271248,0.885972850678733,0.8885869565217391,0.8940217391304348,0.9151515151515152,0.026105234396315846,7,0.9259222032365062,0.9266257915368379,0.9210975977485174,0.9204945220625188,0.9207960599055182,0.9193888833048548,0.929842195195497,0.9229145728643217,0.9226208421264195,0.926439553813687,0.9236142221794678,0.003232711569771768
7,0.09784109592437744,0.008526712655585711,0.05944039821624756,0.011647418905943892,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.9502712477396021,0.953887884267631,0.9376130198915009,0.9385171790235082,0.9231464737793852,0.8978300180831826,0.8942133815551537,0.8914027149321267,0.8922101449275363,0.9003623188405797,0.9179556761646314,0.024120410563497972,4,0.9292391195094984,0.9299427078098301,0.9251181023218414,0.923710925721178,0.9249170770931752,0.9233088752638456,0.9335611619258217,0.9258291457286432,0.925937091749573,0.9298562958496633,0.927142050297307,0.0031543916397576933
8,0.08826222419738769,0.005835337198587976,0.057343339920043944,0.005013604530469392,7,uniform,"{'n_neighbors': 7, 'weights': 'uniform'}",0.9385171790235082,0.9502712477396021,0.9412296564195298,0.9412296564195298,0.9240506329113924,0.9023508137432188,0.9023508137432188,0.8751131221719457,0.8795289855072463,0.8894927536231884,0.9144278606965174,0.026589162491284277,9,0.9080309578852146,0.9275304050658357,0.915468891345864,0.9242134887928435,0.920595034676852,0.9197909337621871,0.9301437330384963,0.9209045226130653,0.9209124711084313,0.9283489096573209,0.9215939347946112,0.006224879708166751
9,0.09958713054656983,0.015604309171999996,0.057595014572143555,0.005171111515898135,7,distance,"{'n_neighbors': 7, 'weights': 'distance'}",0.9412296564195298,0.9520795660036167,0.9412296564195298,0.9466546112115732,0.9249547920433996,0.903254972875226,0.9077757685352622,0.8841628959276018,0.8894927536231884,0.9012681159420289,0.9192220714608774,0.023778652756542524,3,0.9134586390592019,0.9325560357824907,0.9211981103628505,0.9296411699668309,0.9264247663081717,0.924716051864509,0.9354709015981506,0.9256281407035176,0.9265400462265099,0.933675007536931,0.9269308869409162,0.006154516175491291
