,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.8819405555725097,0.014697515917976562,0.004783725738525391,0.0009799250787554858,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",0.8769209079374031,0.8745241787677992,0.8770618920062033,0.8736782743549979,0.878595600676819,0.8694303440496334,0.8721094190637337,0.8688663282571912,0.8705401212804964,0.8726554787759131,0.873438425312315,0.0031754980573602356,8,0.876733146375472,0.87707781729308,0.8721897570070031,0.8758871359413433,0.8778944070186433,0.8730377565408115,0.8727400908663637,0.8731160896130347,0.8729300809951278,0.8785543074681581,0.8750160589119037,0.0023195901215489227
1,1.9788129329681396,0.22487513609438142,0.008674907684326171,0.000636925029244512,0.1,100,"{'learning_rate': 0.1, 'n_estimators': 100}",0.8559142816861695,0.8570421542365713,0.881855350345411,0.8760750035246018,0.8763395375070502,0.871404399323181,0.8764805414551607,0.8745064861816131,0.8739246932731631,0.8696939782823297,0.8713234257353148,0.00803911819910789,15,0.8787698381613374,0.8788638393206849,0.8750567923671059,0.8762004731391687,0.8759830800563998,0.8766097446341845,0.8760300798997337,0.875810747297509,0.8762356848553211,0.8765960113424511,0.8766156291073897,0.0011761373344495482
2,3.305920958518982,0.24683476453213515,0.014264941215515137,0.0017830103821068974,0.1,150,"{'learning_rate': 0.1, 'n_estimators': 150}",0.852530664034964,0.8556323135485691,0.8811504300014098,0.8776258282814042,0.877326565143824,0.8730964467005076,0.8774675690919346,0.8754935138183869,0.8726554787759131,0.8691298829502185,0.8712106257578749,0.009146193575187481,16,0.8797098497548136,0.8769211486941673,0.8752761284055837,0.8761378056996036,0.8762024126586244,0.8767820773930753,0.8758734137552875,0.8763747454175153,0.8761573530102928,0.8771600006266548,0.8766594935415618,0.0011394998404827743
3,3.5982073307037354,0.17392587762644665,0.01625995635986328,0.0009005812214649222,0.1,200,"{'learning_rate': 0.1, 'n_estimators': 200}",0.8537995206541661,0.8590159311997744,0.881855350345411,0.8794586211758071,0.8804286520022561,0.8746474901297236,0.8793006204173717,0.877326565143824,0.8746298124383021,0.8699760259483853,0.8730436253912749,0.00901395182752731,9,0.8773911544909054,0.8776418242491657,0.8763101411584077,0.8766078114963418,0.8763277455741815,0.877252075826414,0.8766880777064077,0.8765784114052954,0.8767683414015134,0.8776926571728471,0.8769258240481479,0.0004963443249433683
4,7.535150933265686,0.4096252893805446,0.03201742172241211,0.0015812905761730701,0.1,400,"{'learning_rate': 0.1, 'n_estimators': 400}",0.84999295079656,0.8511208233469618,0.8777668123502044,0.8860848724094177,0.8852227862380146,0.8769035532994924,0.886350817822899,0.8825437112239143,0.8804117895924412,0.8749118601043576,0.875130424973915,0.01284225922667817,4,0.8823888827962212,0.8819972112989394,0.8799448526531827,0.8800701875323129,0.8801503994986684,0.8780197399342002,0.8797430675231083,0.8803853987153376,0.8805909354388933,0.8812332565681252,0.880452393195899,0.0011698593218810586
5,0.9738246440887451,0.0880371893433407,0.00468754768371582,0.0007789725201596035,0.01,50,"{'learning_rate': 0.01, 'n_estimators': 50}",0.8347666713661356,0.8196813760045115,0.8295502608205273,0.8258846750317214,0.8248730964467005,0.8300902425267908,0.8343203609701072,0.8255781161872533,0.8276688760400508,0.8345790438584121,0.8286991342601732,0.004693981955069678,20,0.8280248789735073,0.8297012329818735,0.8286045527894844,0.8290118911466575,0.8291242362525458,0.8285445715180949,0.8280745730847564,0.8290459031803228,0.8288135858752017,0.8280459337939245,0.828699135959637,0.0005215631578735358
6,1.722993302345276,0.07317934672461408,0.008282971382141114,0.00045980953777344317,0.01,100,"{'learning_rate': 0.01, 'n_estimators': 100}",0.8475962216269561,0.8358945439165374,0.8295502608205273,0.8258846750317214,0.8248730964467005,0.8300902425267908,0.8343203609701072,0.8255781161872533,0.8276688760400508,0.8345790438584121,0.8316037336792532,0.006532528943754103,19,0.8476397875573799,0.8489401369283555,0.8286045527894844,0.8290118911466575,0.8291242362525458,0.8285445715180949,0.8280745730847564,0.8290459031803228,0.8288135858752017,0.8280459337939245,0.8325845172126725,0.007866040863735371
7,2.5043030261993406,0.11552473951061647,0.01156604290008545,0.0006552006843357293,0.01,150,"{'learning_rate': 0.01, 'n_estimators': 150}",0.8475962216269561,0.8358945439165374,0.8504159030029607,0.8473142534893557,0.845882684715172,0.8512408347433729,0.85307388606881,0.8485617597292724,0.845578902834579,0.850796784656607,0.8476354304729139,0.004543415683215085,18,0.8476397875573799,0.8489401369283555,0.8473264503595545,0.8476711212771624,0.8478301738994203,0.8472348425505248,0.8470311765627447,0.8475325082249726,0.8478638905860789,0.8472842349328696,0.8476354322879063,0.0005048429712736722
8,3.508327913284302,0.19540923447308214,0.015454721450805665,0.0010215317552416529,0.01,200,"{'learning_rate': 0.01, 'n_estimators': 200}",0.8635274214013816,0.875652051318201,0.8645143098829833,0.8722684336669956,0.8754935138183869,0.8738014664410604,0.8746474901297236,0.8723914269599549,0.8726554787759131,0.870822168946552,0.8715772256845549,0.004048290529355823,14,0.8672076955615786,0.8762474737188425,0.8657976781713641,0.8753074621253663,0.874949083503055,0.8751370828763904,0.8750430831897227,0.8755444148519504,0.875515031881061,0.8757186946781345,0.8736467700557465,0.0036033672320780028
9,7.161127591133118,0.2851928091172944,0.030817174911499025,0.0009408548100188001,0.01,400,"{'learning_rate': 0.01, 'n_estimators': 400}",0.8803045255886085,0.8762159875934019,0.8757930353870013,0.8693077682221909,0.8795826283135928,0.8690073322053018,0.8711223914269599,0.8754935138183869,0.8754759554364687,0.8722324072768298,0.8744536251092749,0.0037382285011263797,5,0.8763414748781901,0.8767018126556895,0.8716727506305911,0.8723934261855896,0.877126742910857,0.8724267585774714,0.8721917593608022,0.8775810747297509,0.8775829925898074,0.8779433190769376,0.8751962111595688,0.0025140265585719664
10,0.9658446788787842,0.08045777022102392,0.004882311820983887,0.0005355472040624874,0.05,50,"{'learning_rate': 0.05, 'n_estimators': 50}",0.8790356689694064,0.875652051318201,0.8650782461581841,0.8625405329197801,0.875775521714608,0.8625211505922166,0.8750705019740552,0.8619571347997744,0.8726554787759131,0.870117049781413,0.8700403259919348,0.006166103987351619,17,0.875871469081452,0.8762474737188425,0.8659856804900594,0.8662676839681023,0.8751684161052796,0.8662697791007363,0.8752467491775028,0.8663324455585149,0.875515031881061,0.8768623396155473,0.8719767068697098,0.004728530509577731
11,1.910981035232544,0.09320279737739201,0.008873176574707032,0.0008212146505770252,0.05,100,"{'learning_rate': 0.05, 'n_estimators': 100}",0.8773438601438037,0.8748061469053997,0.8770618920062033,0.8769209079374031,0.8769035532994924,0.8694303440496334,0.8790186125211505,0.8722504230118443,0.8757580031025243,0.8726554787759131,0.875215024956995,0.002782703471882264,3,0.8773598207711228,0.8777201585486221,0.8721897570070031,0.8780804963261214,0.8755130816230613,0.8730377565408115,0.8779100736330879,0.8760457465141783,0.8782096473500337,0.8785543074681581,0.8764620845782201,0.002135151772461522
12,2.5872815608978272,0.07143166097271013,0.012167406082153321,0.00039866028715453724,0.05,150,"{'learning_rate': 0.05, 'n_estimators': 150}",0.8622585647821797,0.8629634851261807,0.8836881432398139,0.8767799238686028,0.8788776085730401,0.8769035532994924,0.8787366046249295,0.8754935138183869,0.8754759554364687,0.8725144549428854,0.874369025126195,0.0064900204013072695,6,0.8784878346832944,0.8777828259881872,0.8748061226088455,0.8781588306255778,0.8780040733197556,0.877988406705311,0.8777690741030864,0.8780197399342002,0.8780373172909715,0.8783663110400902,0.8777420536299319,0.0010017638283671962
13,3.451869559288025,0.2750107084060134,0.016063404083251954,0.0008245502402251845,0.05,200,"{'learning_rate': 0.05, 'n_estimators': 200}",0.8584519949245735,0.8571831383053715,0.8824192866206119,0.8760750035246018,0.8761985335589396,0.871404399323181,0.8767625493513819,0.8745064861816131,0.8737836694401354,0.8725144549428854,0.8719297256140549,0.007606945699554026,13,0.8786758370019897,0.8788011718811198,0.8749941249275408,0.8761691394193861,0.8761240795864014,0.8765627447908507,0.8759987466708444,0.8762964123452922,0.8761103539032759,0.8788989675862825,0.8768631578112984,0.0013203324067929492
14,6.877709436416626,0.13203872975836956,0.02991945743560791,0.0009997068202179228,0.05,400,"{'learning_rate': 0.05, 'n_estimators': 400}",0.8539405047229663,0.8550683772733682,0.8759340194558015,0.8810094459326097,0.8802876480541455,0.8746474901297236,0.8793006204173717,0.8771855611957134,0.8747708362713299,0.8705401212804964,0.8722681255463749,0.009351572594179224,11,0.8799918532328566,0.8772188190321014,0.8759811371006909,0.8762944742985164,0.8762494125019583,0.8772207425975247,0.8767194109352969,0.8764530784897384,0.8767056759254908,0.8771756669956604,0.8770010271109834,0.001078997354567334
15,0.8452432155609131,0.022745691417777235,0.004785370826721191,0.00039886624592643736,0.2,50,"{'learning_rate': 0.2, 'n_estimators': 50}",0.8578880586493727,0.8611306922317779,0.8821373184830115,0.8795996052446073,0.8770445572476029,0.8719684151156233,0.8795826283135928,0.8774675690919346,0.8730785502749965,0.8695529544493019,0.8729449254110149,0.0076741061515615445,10,0.878581835842642,0.8787385044415548,0.8751664603863447,0.8782684986448166,0.8756540811530629,0.8764844117186276,0.8781607394642018,0.8783330722230925,0.8761886857483041,0.8769250050915699,0.8772501294714218,0.0012544119201379326
16,1.671228575706482,0.023965361777763775,0.008176827430725097,0.0003980944553998632,0.2,100,"{'learning_rate': 0.2, 'n_estimators': 100}",0.8535175525165656,0.8553503454109685,0.8757930353870013,0.8815733822078106,0.8788776085730401,0.8746474901297236,0.8793006204173717,0.8771855611957134,0.8744887886052742,0.8703990974474686,0.8721130255773949,0.00931694226960139,12,0.8777828259881872,0.8772658196117752,0.876106471979821,0.8760124708204734,0.876876077079743,0.8770797430675231,0.8767194109352969,0.8765627447908507,0.8765960113424511,0.8772069997336718,0.8768208575349792,0.0005132111147101917
17,2.5516756772994995,0.04552655065683236,0.012077713012695312,0.0005356610890129464,0.2,150,"{'learning_rate': 0.2, 'n_estimators': 150}",0.8530946003101649,0.8567601860989709,0.8760750035246018,0.8811504300014098,0.8849407783417935,0.8752115059221658,0.8829667230682459,0.8788776085730401,0.8795656465942744,0.8750528839373855,0.874369025126195,0.010226647822592964,6,0.8819815444390481,0.8789108399003588,0.8777514922684047,0.8783311660843817,0.8786620711264296,0.8790694031019897,0.8771424095253015,0.8777534074886417,0.8802149425827576,0.8811392583540912,0.8790956534871406,0.0014828462830674706
18,3.4370089769363403,0.04217203616905517,0.01557018756866455,0.0006536744010182875,0.2,200,"{'learning_rate': 0.2, 'n_estimators': 200}",0.8494290145213591,0.8607077400253771,0.877484844212604,0.8810094459326097,0.8849407783417935,0.883248730964467,0.8842357586012408,0.8822617033276932,0.8794246227612467,0.8749118601043576,0.8757649248470151,0.011041502186683495,2,0.8825455513951339,0.8822948816368735,0.8802895235707907,0.8785035015431857,0.8801973993420021,0.880369732100893,0.8805890647031177,0.8802600657997807,0.8808729300809951,0.8812332565681252,0.8807155906740898,0.0010872981878875072
19,6.808596396446228,0.11527232842764616,0.03131701946258545,0.0010174632711436537,0.2,400,"{'learning_rate': 0.2, 'n_estimators': 400}",0.8522486958973636,0.8591569152685746,0.8834061751022134,0.8880586493726209,0.8855047941342358,0.8822617033276932,0.8856457980823463,0.8831077270163564,0.8799887180933578,0.875334931603441,0.8774710245057951,0.011471741192026867,1,0.8850992495574113,0.8844569083018691,0.8802425229911169,0.8813392031835059,0.8817483941720194,0.8811687294375685,0.8809650634497885,0.8826727244242519,0.8813115884131535,0.8818912440663628,0.8820895627997049,0.0014781953714591396
20,0.8290799617767334,0.02551995353827962,0.0044877052307128905,0.000498153399514767,0.001,50,"{'learning_rate': 0.001, 'n_estimators': 50}",0.6559988721274496,0.6559988721274496,0.6559988721274496,0.6559988721274496,0.6559503666102651,0.6559503666102651,0.6559503666102651,0.6559503666102651,0.6560428712452404,0.6560428712452404,0.6559882688023463,3.4867979550725963e-05,22,0.6559870905074496,0.6559870905074496,0.6559870905074496,0.6559870905074496,0.6559924800250666,0.6559924800250666,0.6559924800250666,0.6559924800250666,0.6559822030048096,0.6559822030048096,0.6559882688139684,3.874001834868045e-06
21,1.617873764038086,0.05792743969395131,0.007180333137512207,0.0005982323451966259,0.001,100,"{'learning_rate': 0.001, 'n_estimators': 100}",0.6559988721274496,0.6559988721274496,0.6559988721274496,0.6559988721274496,0.6559503666102651,0.6559503666102651,0.6559503666102651,0.6559503666102651,0.6560428712452404,0.6560428712452404,0.6559882688023463,3.4867979550725963e-05,22,0.6559870905074496,0.6559870905074496,0.6559870905074496,0.6559870905074496,0.6559924800250666,0.6559924800250666,0.6559924800250666,0.6559924800250666,0.6559822030048096,0.6559822030048096,0.6559882688139684,3.874001834868045e-06
22,2.493289756774902,0.19119144863573675,0.011069917678833007,0.0012175381467102973,0.001,150,"{'learning_rate': 0.001, 'n_estimators': 150}",0.6559988721274496,0.6559988721274496,0.6559988721274496,0.6559988721274496,0.6559503666102651,0.6559503666102651,0.6559503666102651,0.6559503666102651,0.6560428712452404,0.6560428712452404,0.6559882688023463,3.4867979550725963e-05,22,0.6559870905074496,0.6559870905074496,0.6559870905074496,0.6559870905074496,0.6559924800250666,0.6559924800250666,0.6559924800250666,0.6559924800250666,0.6559822030048096,0.6559822030048096,0.6559882688139684,3.874001834868045e-06
23,3.5844462633132936,0.2493748949752243,0.015262174606323241,0.00110229497525845,0.001,200,"{'learning_rate': 0.001, 'n_estimators': 200}",0.6559988721274496,0.6559988721274496,0.6559988721274496,0.6559988721274496,0.6559503666102651,0.6559503666102651,0.6559503666102651,0.6559503666102651,0.6560428712452404,0.6560428712452404,0.6559882688023463,3.4867979550725963e-05,22,0.6559870905074496,0.6559870905074496,0.6559870905074496,0.6559870905074496,0.6559924800250666,0.6559924800250666,0.6559924800250666,0.6559924800250666,0.6559822030048096,0.6559822030048096,0.6559882688139684,3.874001834868045e-06
24,6.672856545448303,0.3909975419385475,0.027728724479675292,0.0018323789127299415,0.001,400,"{'learning_rate': 0.001, 'n_estimators': 400}",0.8347666713661356,0.8196813760045115,0.8295502608205273,0.8258846750317214,0.8248730964467005,0.8300902425267908,0.8343203609701072,0.8255781161872533,0.8276688760400508,0.8345790438584121,0.8286991342601732,0.004693981955069678,20,0.8280248789735073,0.8297012329818735,0.8286045527894844,0.8290118911466575,0.8291242362525458,0.8285445715180949,0.8280745730847564,0.8290459031803228,0.8288135858752017,0.8280459337939245,0.828699135959637,0.0005215631578735358
