,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,49.16957802772522,6.713491785544,2.9982008218765257,0.5083005274828869,1,rbf,"{'degree': 1, 'kernel': 'rbf'}",0.8557732976173692,0.8623995488509798,0.8860848724094177,0.883124206964613,0.8821206993795826,0.8829667230682459,0.8864918217710096,0.8828257191201354,0.8832322662529968,0.8784374559300522,0.8783452243309552,0.009962586517463883,1,0.8856162559338232,0.8854595873349105,0.8831095583512196,0.8822008804775259,0.8823123922920257,0.882218392605358,0.8819990600031333,0.8829233902553658,0.8829565571587473,0.8832385518008491,0.8832034626212959,0.0012361734620215006
1,41.65258042812347,6.097626128001495,1.6545403957366944,0.24704583551885656,1,linear,"{'degree': 1, 'kernel': 'linear'}",0.8736782743549979,0.8601438037501762,0.8454814605949528,0.8454814605949528,0.8525098702763677,0.8495487873660462,0.8460236886632826,0.8478567399887197,0.845578902834579,0.8467070934988012,0.851301429739714,0.00863032548076947,12,0.8488148020492253,0.8503188205987874,0.8519481740274797,0.8519481740274797,0.851167162776124,0.8514961616794611,0.8518878270405765,0.8516841610527965,0.8519371465275493,0.8518118155755041,0.8513014245354984,0.0009589742997721402
2,24.99177806377411,1.1510631122286483,1.5524487972259522,0.08977837505625415,1,poly,"{'degree': 1, 'kernel': 'poly'}",0.8736782743549979,0.8601438037501762,0.8454814605949528,0.8454814605949528,0.8525098702763677,0.8495487873660462,0.8460236886632826,0.8478567399887197,0.845578902834579,0.8467070934988012,0.851301429739714,0.00863032548076947,12,0.8488148020492253,0.8503188205987874,0.8519481740274797,0.8519481740274797,0.851167162776124,0.8514961616794611,0.8518878270405765,0.8516841610527965,0.8519371465275493,0.8518118155755041,0.8513014245354984,0.0009589742997721402
3,65.60854260921478,12.6173619299221,2.8342522859573362,0.37220458035032644,1,sigmoid,"{'degree': 1, 'kernel': 'sigmoid'}",0.715635133229945,0.7224023685323558,0.7914845622444664,0.7769632031580431,0.7855329949238579,0.7763677382966723,0.769599548787366,0.7563451776649747,0.7547595543646877,0.7554646735298265,0.7604551479089704,0.023942943698017093,19,0.767002459697003,0.7685848125460214,0.7563176612511554,0.7561923263720253,0.7577158076139746,0.7613191289362369,0.7601754660817798,0.7578881403728654,0.7614638655198884,0.764581472952014,0.7611241141342966,0.0041561555747513575
4,33.539291572570804,0.6965424542310721,2.048147988319397,0.02338949134743009,3,rbf,"{'degree': 3, 'kernel': 'rbf'}",0.8557732976173692,0.8623995488509798,0.8860848724094177,0.883124206964613,0.8821206993795826,0.8829667230682459,0.8864918217710096,0.8828257191201354,0.8832322662529968,0.8784374559300522,0.8783452243309552,0.009962586517463883,1,0.8856162559338232,0.8854595873349105,0.8831095583512196,0.8822008804775259,0.8823123922920257,0.882218392605358,0.8819990600031333,0.8829233902553658,0.8829565571587473,0.8832385518008491,0.8832034626212959,0.0012361734620215006
5,27.082777428627015,1.6420650930488654,1.0971890449523927,0.04329572557208317,3,linear,"{'degree': 3, 'kernel': 'linear'}",0.8736782743549979,0.8601438037501762,0.8454814605949528,0.8454814605949528,0.8525098702763677,0.8495487873660462,0.8460236886632826,0.8478567399887197,0.845578902834579,0.8467070934988012,0.851301429739714,0.00863032548076947,12,0.8488148020492253,0.8503188205987874,0.8519481740274797,0.8519481740274797,0.851167162776124,0.8514961616794611,0.8518878270405765,0.8516841610527965,0.8519371465275493,0.8518118155755041,0.8513014245354984,0.0009589742997721402
6,106.00648181438446,20.50790607592291,1.2604485988616942,0.04127167560060419,3,poly,"{'degree': 3, 'kernel': 'poly'}",0.8724094177357958,0.8702946567037925,0.8862258564782179,0.8791766530382067,0.877326565143824,0.8791596164692611,0.8849407783417935,0.8764805414551607,0.87984769426033,0.8756169792694966,0.8781478243704351,0.00469943375027149,7,0.8801485218317693,0.8807281956477463,0.8783154992244905,0.8790518416393802,0.8793357355475482,0.8783644054519818,0.8789440701864327,0.8785837380542065,0.8790399649073334,0.8797606178815935,0.8792272590372482,0.0007438926304658527
7,53.86017918586731,5.207749228032181,2.5856104850769044,0.029502875302607548,3,sigmoid,"{'degree': 3, 'kernel': 'sigmoid'}",0.715635133229945,0.7224023685323558,0.7914845622444664,0.7769632031580431,0.7855329949238579,0.7763677382966723,0.769599548787366,0.7563451776649747,0.7547595543646877,0.7554646735298265,0.7604551479089704,0.023942943698017093,19,0.767002459697003,0.7685848125460214,0.7563176612511554,0.7561923263720253,0.7577158076139746,0.7613191289362369,0.7601754660817798,0.7578881403728654,0.7614638655198884,0.764581472952014,0.7611241141342966,0.0041561555747513575
8,33.63688414096832,1.023376768124711,2.0491353034973145,0.03296638484231077,5,rbf,"{'degree': 5, 'kernel': 'rbf'}",0.8557732976173692,0.8623995488509798,0.8860848724094177,0.883124206964613,0.8821206993795826,0.8829667230682459,0.8864918217710096,0.8828257191201354,0.8832322662529968,0.8784374559300522,0.8783452243309552,0.009962586517463883,1,0.8856162559338232,0.8854595873349105,0.8831095583512196,0.8822008804775259,0.8823123922920257,0.882218392605358,0.8819990600031333,0.8829233902553658,0.8829565571587473,0.8832385518008491,0.8832034626212959,0.0012361734620215006
9,28.91906604766846,1.1317316688232877,1.109451413154602,0.0241063709940329,5,linear,"{'degree': 5, 'kernel': 'linear'}",0.8736782743549979,0.8601438037501762,0.8454814605949528,0.8454814605949528,0.8525098702763677,0.8495487873660462,0.8460236886632826,0.8478567399887197,0.845578902834579,0.8467070934988012,0.851301429739714,0.00863032548076947,12,0.8488148020492253,0.8503188205987874,0.8519481740274797,0.8519481740274797,0.851167162776124,0.8514961616794611,0.8518878270405765,0.8516841610527965,0.8519371465275493,0.8518118155755041,0.8513014245354984,0.0009589742997721402
