,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.0558469295501709,0.010026865278408738,0.0016952753067016602,0.000457502308504252,gini,1,"{'criterion': 'gini', 'min_samples_leaf': 1}",0.8576060905117722,0.8584519949245735,0.8872127449598195,0.8894684900606231,0.8881838691483361,0.8887478849407784,0.8860688099266779,0.8835307388606881,0.8859117190805246,0.8799887180933578,0.8805166238966752,0.011544135288281545,7,0.8878566168982751,0.8874806122608846,0.8846605774804556,0.8848329129392596,0.884928716904277,0.88480338398872,0.8852107159642801,0.885383048723171,0.8852281806645673,0.8859488336388275,0.8856333599462719,0.0010785450003126713
1,0.05285909175872803,0.005552532134958108,0.0016947031021118165,0.0004569719895662136,gini,2,"{'criterion': 'gini', 'min_samples_leaf': 2}",0.8574651064429719,0.8583110108557733,0.8870717608910194,0.889327505991823,0.8881838691483361,0.8887478849407784,0.8860688099266779,0.8836717428087987,0.8859117190805246,0.8795656465942744,0.8804320239135952,0.011586389558152931,11,0.88779394945871,0.8873709442416456,0.8845509094612167,0.8847232449200206,0.8848503838320539,0.8847250509164969,0.8851167162776125,0.8852890490365032,0.8851498488195391,0.8858235026867823,0.8855393599650581,0.0010813176923139332
2,0.0526578426361084,0.006521979811040519,0.0013963937759399413,0.0004888813101885807,gini,4,"{'criterion': 'gini', 'min_samples_leaf': 4}",0.8577470745805724,0.8583110108557733,0.8873537290286198,0.8896094741294234,0.8883248730964467,0.8890298928369994,0.886350817822899,0.8838127467569092,0.8861937667465801,0.8794246227612467,0.8806153238769352,0.011630809619447666,4,0.8875902802801234,0.8871986087828416,0.8844255745820865,0.8845509094612167,0.8846937176876077,0.8845213849287169,0.8849600501331663,0.8851167162776125,0.8849775187604769,0.8856825053657313,0.885371726625958,0.001072272886952725
3,0.05115962028503418,0.005868247994254329,0.001898336410522461,0.0005378501503686267,gini,5,"{'criterion': 'gini', 'min_samples_leaf': 5}",0.8577470745805724,0.8584519949245735,0.8872127449598195,0.8896094741294234,0.8886068809926678,0.8888888888888888,0.886350817822899,0.8838127467569092,0.8860527429135524,0.8794246227612467,0.8806153238769352,0.011597967430177134,4,0.8875902802801234,0.887104607623494,0.8844255745820865,0.8845195757414341,0.8846310512298292,0.8845213849287169,0.8849130502898324,0.8850853830487232,0.8849461860224656,0.8856825053657313,0.8853419599112436,0.0010667280354175917
4,0.04792196750640869,0.001309161016221343,0.001695537567138672,0.0004574652185655492,gini,8,"{'criterion': 'gini', 'min_samples_leaf': 8}",0.8571831383053715,0.8584519949245735,0.8870717608910194,0.8894684900606231,0.8884658770445573,0.8887478849407784,0.8862098138747885,0.8835307388606881,0.8859117190805246,0.8799887180933578,0.8805025238994952,0.011646247661424967,8,0.8874022779614282,0.8869792727443638,0.8842532391232826,0.8843785740024127,0.8844430518564939,0.8843490521698261,0.8847407175309415,0.8849130502898324,0.884789522332409,0.8854945089376636,0.8851743266948654,0.0010689217002941643
5,0.04866952896118164,0.005331077219201308,0.0014987230300903321,0.000495169152298072,gini,10,"{'criterion': 'gini', 'min_samples_leaf': 10}",0.8573241223741718,0.8588749471309742,0.8862258564782179,0.8890455378542225,0.8883248730964467,0.8883248730964467,0.8862098138747885,0.8838127467569092,0.8860527429135524,0.8799887180933578,0.8804179239164153,0.011435697339004732,12,0.887339610521863,0.8868852715850162,0.8839712356452396,0.8842219054035,0.8843333855553814,0.884270719097603,0.8846467178442738,0.8847877173742754,0.8846171922733468,0.8854005107236296,0.8850474266024129,0.0011010163058868523
6,0.05006697177886963,0.002552999333821217,0.0016970157623291016,0.0004516865849011856,gini,12,"{'criterion': 'gini', 'min_samples_leaf': 12}",0.856901170167771,0.8590159311997744,0.8860848724094177,0.8886225856478218,0.8881838691483361,0.8881838691483361,0.8860688099266779,0.8836717428087987,0.8854886475814413,0.8804117895924412,0.8802628239474352,0.011398427392544467,14,0.8871516082031679,0.8866816024064297,0.883877234485892,0.8840809036644786,0.8840983863387122,0.8841923860253799,0.8845840513864954,0.8846780510731631,0.884382196738262,0.8852281806645673,0.8848954600986547,0.0010783699852018663
7,0.049080514907836915,0.004731439521919057,0.0017953872680664062,0.00039934402004022663,entropy,1,"{'criterion': 'entropy', 'min_samples_leaf': 1}",0.8574651064429719,0.8584519949245735,0.8872127449598195,0.8894684900606231,0.8881838691483361,0.8887478849407784,0.8860688099266779,0.8833897349125776,0.8859117190805246,0.8799887180933578,0.8804884239023152,0.011568548708976506,9,0.8878566168982751,0.8874806122608846,0.8846605774804556,0.8848329129392596,0.884928716904277,0.88480338398872,0.8852107159642801,0.885383048723171,0.8852281806645673,0.8859488336388275,0.8856333599462719,0.0010785450003126713
8,0.04658091068267822,0.0020059821093831873,0.0017956972122192382,0.0003987804869463802,entropy,2,"{'criterion': 'entropy', 'min_samples_leaf': 2}",0.8573241223741718,0.8583110108557733,0.8872127449598195,0.889327505991823,0.8881838691483361,0.8887478849407784,0.8860688099266779,0.8835307388606881,0.8859117190805246,0.8795656465942744,0.8804179239164153,0.011618680455303466,12,0.8877782825988187,0.8873709442416456,0.8845979100408905,0.8847232449200206,0.8848503838320539,0.8847250509164969,0.885132382892057,0.8853047156509478,0.8851498488195391,0.8858235026867823,0.8855456266599253,0.0010728646784808325
9,0.05036859512329102,0.004074210935389792,0.002094078063964844,0.0006965602034979284,entropy,4,"{'criterion': 'entropy', 'min_samples_leaf': 4}",0.8577470745805724,0.8583110108557733,0.8872127449598195,0.8896094741294234,0.8883248730964467,0.8890298928369994,0.8862098138747885,0.8839537507050197,0.8861937667465801,0.8795656465942744,0.8806153238769352,0.011618455606630006,4,0.8875902802801234,0.8871829419229503,0.8844099077221952,0.8845509094612167,0.8846937176876077,0.8845213849287169,0.8849600501331663,0.8851167162776125,0.8849775187604769,0.8856355062587145,0.885363893343278,0.0010697181151012817
